workspace,repo_slug,pipeline_uuid,step_uuid,state,name,duration_seconds
solutionsmetrixcrmdev,esl,{0cbbec65-686a-499f-86f6-b7e88c4527b1},{ccd8207d-f871-4a40-a828-00a85f42e5ea},COMPLETED,Deploy to QA,554
solutionsmetrixcrmdev,esl,{3b9715db-49e1-4e79-9324-33a71c225727},{35236083-a339-41c5-899b-28251642eca7},COMPLETED,Deploy to QA,542
solutionsmetrixcrmdev,esl,{954b3515-d79e-4adf-8eae-e87244d4d79b},{8d144683-5a9e-4ace-9310-cab6a2993c65},COMPLETED,Deploy to UAT,649
solutionsmetrixcrmdev,esl,{4609c796-601b-4913-bfc2-03c7cf95d452},{3dd55bc5-56c9-4579-90ea-012469c26324},COMPLETED,Deploy to QA,632
solutionsmetrixcrmdev,esl,{797651dc-9b41-4453-8030-1b6f0311caef},{4b6dc555-bcc5-48ca-bf69-6d5d1804d667},PENDING,Deploy to QA,
solutionsmetrixcrmdev,esl,{b5d25d5c-1965-4dfd-a61c-7a2f8b42ed75},{6d514260-2576-4a10-bc3b-08af68922fc4},COMPLETED,Deploy to QA,452
solutionsmetrixcrmdev,esl,{30392877-eff2-422b-8507-a12ae3cbd6de},{173d96c8-e8fa-4565-9c4d-90479c0358b7},COMPLETED,Deploy to QA,733
solutionsmetrixcrmdev,esl,{afbfbdf4-450f-41cc-bcab-68d432452847},{7f524d4d-de38-4c19-ade6-565a3dbf3148},COMPLETED,Deploy to QA,662
solutionsmetrixcrmdev,esl,{62176cfa-39fc-4de7-adf8-36eb399cea88},{859f62a5-a02f-4f8f-b20d-fb42be138c20},COMPLETED,Deploy to QA,789
solutionsmetrixcrmdev,esl,{c3dd7c66-f43a-4670-b55c-3fbd61a13c1a},{3130cfea-109a-49d1-b291-ac2a3cd9368d},COMPLETED,Deploy to QA,610
solutionsmetrixcrmdev,esl,{a51f5204-4203-49a3-b75f-ea7b194fd1f7},{f07785e3-e816-4e02-b528-eca80ce76c32},COMPLETED,Deploy to QA,498
solutionsmetrixcrmdev,esl,{602628a0-acbe-457a-9651-7aae5195dbb1},{e6b4848d-484d-4c14-bb5d-baa91a835abe},COMPLETED,Deploy to QA,419
solutionsmetrixcrmdev,esl,{637e547d-dc5d-4da7-a6dd-5de91272c458},{ecb27e81-41aa-42b1-ae0e-77fefb854b9d},COMPLETED,Deploy to QA,503
solutionsmetrixcrmdev,esl,{f17ebd2f-6635-4041-841f-35721f7e863d},{1fd592e3-9fec-4283-8454-177a7bd7423a},COMPLETED,Deploy to QA,587
solutionsmetrixcrmdev,esl,{0298bdf1-9230-4184-9c3f-c8297c6fe7fb},{37200909-7843-4f53-819e-41fcc4b5d4b1},COMPLETED,Deploy to QA,746
solutionsmetrixcrmdev,esl,{5dd71bdf-03a7-47fa-9b1b-65015fadc0f9},{8d55339a-c36b-4ed3-8fc0-947d97e47388},COMPLETED,Deploy to QA,427
solutionsmetrixcrmdev,esl,{8813f526-eea3-4cf0-a72f-fb2a1e298556},{7a540fb9-3c97-42e6-8d84-0a3e6f2efec2},COMPLETED,Deploy to QA,591
solutionsmetrixcrmdev,esl,{42b1d8fa-c933-4dd0-add9-1b2645509dc0},{416efced-ea35-478f-83a5-557d3cc88b64},COMPLETED,Deploy to QA,548
solutionsmetrixcrmdev,esl,{c2b42017-6022-480a-8563-011b3105e1a0},{59504c0a-9f0b-4bed-b2dc-0d0aece2bc30},COMPLETED,Deploy to QA,524
solutionsmetrixcrmdev,esl,{14c97bed-2872-4ebe-889e-cbd2eab2c8d4},{11d750cb-8443-4734-8eca-620a93e47cbb},COMPLETED,Deploy to QA,763
solutionsmetrixcrmdev,esl,{68c2e456-6986-4946-a3af-8a05959d2387},{8aeb29d2-d68a-4d92-8dbd-d903ec0f1d77},COMPLETED,Deploy to QA,571
solutionsmetrixcrmdev,esl,{b397cfdc-0fcd-4c15-96fe-8347ca1f7c11},{f7ce1970-61c7-4f0d-9d72-e2110a66b9ef},COMPLETED,Deploy to QA,4
solutionsmetrixcrmdev,esl,{f0ca8a85-ac22-4dd3-b906-4ed30e0c61a0},{fc60b438-4ee7-49cb-9cdb-5e57cbb2e371},COMPLETED,Deploy to QA,624
solutionsmetrixcrmdev,esl,{c3121951-3bdb-43b3-98aa-dff0f3274744},{7f78f923-9c75-4315-91f2-54ce7e06885a},COMPLETED,Deploy to QA,477
solutionsmetrixcrmdev,esl,{9942ace0-8722-4d48-8b87-779152364ae9},{150f3a96-4725-4fd7-a1c1-67c138642d16},COMPLETED,Deploy to QA,635
solutionsmetrixcrmdev,esl,{2419b460-99fe-4932-9fbe-6f818698092b},{d53d245d-8f10-4045-a888-ca5b43ea4098},COMPLETED,Deploy to UAT,2
solutionsmetrixcrmdev,esl,{c9968203-4402-4f69-8f22-a27da81b5955},{a24d0ada-d326-48d9-bfd2-654045a4ae92},COMPLETED,Deploy to QA,659
solutionsmetrixcrmdev,esl,{74c3b948-b30a-44c5-8c5e-9c31e9392213},{ab1f3272-6073-4fe1-a67a-311b69b182c2},COMPLETED,Deploy to QA,691
solutionsmetrixcrmdev,esl,{ab495c71-cfb4-422a-870b-04666832b96b},{a32a5540-0373-4a1b-80dc-3f2ade4ab928},COMPLETED,Deploy to QA,680
